t,Antenna ID,Event Code,Device ID,x,y, Tile ID
360,5,2,51,2118.296203,3557.773910,144
360,8,2,94,5008.779808,5887.800412,230
360,3,2,28,1706.306858,4533.673063,183
360,6,2,42,3205.272319,7886.414037,306
360,7,2,37,4879.977199,3982.194577,149
420,8,2,94,5008.779808,5887.800412,230
420,7,2,37,4879.977199,3982.194577,149
420,7,2,53,4312.083369,1969.659951,68
420,8,2,74,5013.491356,7220.972134,290
420,22,2,78,8669.829450,4505.662845,197
420,8,2,72,5066.090369,6835.479271,270
420,10,2,85,8309.785219,7484.107786,296
420,5,2,51,2118.296203,3557.773910,144
420,6,2,61,4301.983312,6433.567226,248
420,2,2,67,182.916560,8017.336519,320
420,6,2,42,3205.272319,7886.414037,306
420,17,2,64,670.980719,9079.943553,361
420,4,2,44,1769.004785,6757.952509,263
420,3,2,28,1706.306858,4533.673063,183
480,4,2,44,1769.004785,6757.952509,263
480,6,2,61,4301.983312,6433.567226,248
480,2,2,67,182.916560,8017.336519,320
480,5,2,51,2118.296203,3557.773910,144
480,17,2,64,670.980719,9079.943553,361
480,8,2,72,5066.090369,6835.479271,270
480,8,2,74,5013.491356,7220.972134,290
480,8,2,94,5008.779808,5887.800412,230
480,3,2,28,1706.306858,4533.673063,183
480,10,2,85,8309.785219,7484.107786,296
480,7,2,37,4879.977199,3982.194577,149
480,7,2,53,4312.083369,1969.659951,68
480,6,2,42,3205.272319,7886.414037,306
480,22,2,78,8669.829450,4505.662845,197
540,17,2,64,670.980719,9079.943553,361
540,2,2,67,182.916560,8017.336519,320
540,7,2,37,4879.977199,3982.194577,149
540,8,2,72,5066.090369,6835.479271,270
540,8,2,74,5013.491356,7220.972134,290
540,8,2,94,5008.779808,5887.800412,230
540,22,2,78,8669.829450,4505.662845,197
540,7,2,53,4312.083369,1969.659951,68
540,6,2,61,4301.983312,6433.567226,248
540,4,2,44,1769.004785,6757.952509,263
540,6,2,42,3205.272319,7886.414037,306
540,10,2,85,8353.182447,6997.987108,276
540,5,2,51,2118.296203,3557.773910,144
540,3,2,28,1706.306858,4533.673063,183
600,2,2,67,182.916560,8017.336519,320
600,7,2,53,4312.083369,1969.659951,68
600,4,2,44,1769.004785,6757.952509,263
600,3,2,28,1706.306858,4533.673063,183
600,6,2,42,3205.272319,7886.414037,306
600,5,2,51,2118.296203,3557.773910,144
600,7,2,37,4879.977199,3982.194577,149
600,8,2,72,5066.090369,6835.479271,270
600,8,2,74,5013.491356,7220.972134,290
600,8,2,94,5008.779808,5887.800412,230
600,10,2,85,8353.182447,6997.987108,276
600,17,2,64,670.980719,9079.943553,361
600,22,2,78,8669.829450,4505.662845,197
600,6,2,61,4301.983312,6433.567226,248
660,3,2,28,1706.306858,4533.673063,183
660,2,2,67,182.916560,8017.336519,320
660,5,2,51,2118.296203,3557.773910,144
660,4,2,44,1769.004785,6757.952509,263
660,10,2,85,8353.182447,6997.987108,276
660,6,2,42,3205.272319,7886.414037,306
660,6,2,61,4301.983312,6433.567226,248
660,8,2,74,5013.491356,7220.972134,290
660,8,2,94,5008.779808,5887.800412,230
660,17,2,64,670.980719,9079.943553,361
660,22,2,78,8669.829450,4505.662845,197
660,7,2,37,4879.977199,3982.194577,149
660,7,2,53,4312.083369,1969.659951,68
660,8,2,72,5066.090369,6835.479271,270
720,5,2,51,2118.296203,3557.773910,144
720,2,2,67,182.916560,8017.336519,320
720,10,2,85,8353.182447,6997.987108,276
720,7,2,37,4879.977199,3982.194577,149
720,6,2,61,4301.983312,6433.567226,248
720,6,2,42,3205.272319,7886.414037,306
720,7,2,53,4312.083369,1969.659951,68
720,17,2,64,670.980719,9079.943553,361
720,8,2,94,5008.779808,5887.800412,230
720,8,2,72,5066.090369,6835.479271,270
720,4,2,44,1769.004785,6757.952509,263
720,8,2,74,5013.491356,7220.972134,290
720,3,2,28,1706.306858,4533.673063,183
720,22,2,78,8669.829450,4505.662845,197
780,2,2,67,182.916560,8017.336519,320
780,5,2,51,2118.296203,3557.773910,144
780,8,2,94,5008.779808,5887.800412,230
780,7,2,53,4312.083369,1969.659951,68
780,8,2,72,5066.090369,6835.479271,270
780,10,2,85,8353.182447,6997.987108,276
780,3,2,28,1706.306858,4533.673063,183
780,6,2,61,4301.983312,6433.567226,248
780,7,2,37,4879.977199,3982.194577,149
780,22,2,78,8669.829450,4505.662845,197
780,17,2,64,670.980719,9079.943553,361
780,4,2,44,1769.004785,6757.952509,263
780,8,2,74,5013.491356,7220.972134,290
780,6,2,42,3205.272319,7886.414037,306
840,7,2,53,4312.083369,1969.659951,68
840,2,2,67,182.916560,8017.336519,320
840,3,2,28,1706.306858,4533.673063,183
840,5,2,51,2118.296203,3557.773910,144
840,7,2,37,4879.977199,3982.194577,149
840,10,2,85,8353.182447,6997.987108,276
840,6,2,42,3205.272319,7886.414037,306
840,6,2,61,4301.983312,6433.567226,248
840,17,2,64,670.980719,9079.943553,361
840,8,2,72,5066.090369,6835.479271,270
840,8,2,94,5008.779808,5887.800412,230
840,8,2,74,5013.491356,7220.972134,290
840,22,2,78,8669.829450,4505.662845,197
840,4,2,44,1769.004785,6757.952509,263
900,4,2,44,1769.004785,6757.952509,263
900,2,2,67,182.916560,8017.336519,320
900,7,2,37,4879.977199,3982.194577,149
900,8,2,74,5013.491356,7220.972134,290
900,8,2,94,5008.779808,5887.800412,230
900,6,2,61,4301.983312,6433.567226,248
900,5,2,51,2118.296203,3557.773910,144
900,8,2,72,5066.090369,6835.479271,270
900,17,2,64,670.980719,9079.943553,361
900,6,2,42,3205.272319,7886.414037,306
900,3,2,28,1706.306858,4533.673063,183
900,22,2,78,8669.829450,4505.662845,197
900,10,2,85,8353.182447,6997.987108,276
900,7,2,53,4312.083369,1969.659951,68
960,7,2,53,4312.083369,1969.659951,68
960,8,2,94,5008.779808,5887.800412,230
960,8,2,74,5013.491356,7220.972134,290
960,3,2,28,1706.306858,4533.673063,183
960,2,2,67,182.916560,8017.336519,320
960,8,2,72,5066.090369,6835.479271,270
960,10,2,85,8353.182447,6997.987108,276
960,7,2,37,4879.977199,3982.194577,149
960,6,2,42,3205.272319,7886.414037,306
960,6,2,61,4301.983312,6433.567226,248
960,5,2,51,2118.296203,3557.773910,144
960,4,2,44,1769.004785,6757.952509,263
960,22,2,78,8669.829450,4505.662845,197
960,17,2,64,670.980719,9079.943553,361
1020,8,2,94,5008.779808,5887.800412,230
1020,2,2,67,182.916560,8017.336519,320
1020,4,2,44,1769.004785,6757.952509,263
1020,8,2,72,5066.090369,6835.479271,270
1020,22,2,78,8669.829450,4505.662845,197
1020,7,2,53,4312.083369,1969.659951,68
1020,10,2,85,8353.182447,6997.987108,276
1020,17,2,64,670.980719,9079.943553,361
1020,6,2,42,3205.272319,7886.414037,306
1020,8,2,74,5013.491356,7220.972134,290
1020,3,2,28,1706.306858,4533.673063,183
1020,7,2,37,4879.977199,3982.194577,149
1020,6,2,61,4301.983312,6433.567226,248
1020,5,2,51,2118.296203,3557.773910,144
1080,2,2,67,182.916560,8017.336519,320
1080,8,2,72,5066.090369,6835.479271,270
1080,3,2,28,1706.306858,4533.673063,183
1080,6,2,42,3205.272319,7886.414037,306
1080,7,2,53,4312.083369,1969.659951,68
1080,7,2,37,4879.977199,3982.194577,149
1080,5,2,51,2118.296203,3557.773910,144
1080,4,2,44,1769.004785,6757.952509,263
1080,22,2,78,8669.829450,4505.662845,197
1080,17,2,64,670.980719,9079.943553,361
1080,10,2,85,8353.182447,6997.987108,276
1080,8,2,94,5008.779808,5887.800412,230
1080,8,2,74,5013.491356,7220.972134,290
1080,6,2,61,4301.983312,6433.567226,248
1140,10,2,85,8353.182447,6997.987108,276
1140,22,2,78,8669.829450,4505.662845,197
1140,2,2,67,182.916560,8017.336519,320
1140,3,2,28,1706.306858,4533.673063,183
1140,17,2,64,670.980719,9079.943553,361
1140,4,2,44,1769.004785,6757.952509,263
1140,8,2,74,5013.491356,7220.972134,290
1140,6,2,61,4301.983312,6433.567226,248
1140,5,2,51,2118.296203,3557.773910,144
1140,7,2,37,4879.977199,3982.194577,149
1140,6,2,42,3205.272319,7886.414037,306
1140,7,2,53,4312.083369,1969.659951,68
1140,8,2,72,5066.090369,6835.479271,270
1140,8,2,94,5008.779808,5887.800412,230
1200,8,2,94,5008.779808,5887.800412,230
1200,17,2,64,670.980719,9079.943553,361
1200,22,2,78,8669.829450,4505.662845,197
1200,3,2,28,1706.306858,4533.673063,183
1200,6,2,61,4301.983312,6433.567226,248
1200,4,2,44,1769.004785,6757.952509,263
1200,5,2,51,2118.296203,3557.773910,144
1200,10,2,85,8353.182447,6997.987108,276
1200,7,2,37,4879.977199,3982.194577,149
1200,7,2,53,4312.083369,1969.659951,68
1200,8,2,74,5013.491356,7220.972134,290
1200,8,2,72,5066.090369,6835.479271,270
1200,6,2,42,3205.272319,7886.414037,306
1200,2,2,67,182.916560,8017.336519,320
1260,5,2,51,2118.296203,3557.773910,144
1260,6,2,42,3205.272319,7886.414037,306
1260,17,2,64,670.980719,9079.943553,361
1260,3,2,28,1706.306858,4533.673063,183
1260,2,2,67,182.916560,8017.336519,320
1260,4,2,44,1769.004785,6757.952509,263
1260,8,2,74,5013.491356,7220.972134,290
1260,8,2,94,5008.779808,5887.800412,230
1260,22,2,78,8669.829450,4505.662845,197
1260,10,2,85,8353.182447,6997.987108,276
1260,7,2,53,4312.083369,1969.659951,68
1260,7,2,37,4879.977199,3982.194577,149
1260,6,2,61,4301.983312,6433.567226,248
1260,8,2,72,5066.090369,6835.479271,270
1320,7,2,37,4879.977199,3982.194577,149
1320,4,2,44,1769.004785,6757.952509,263
1320,22,2,78,8669.829450,4505.662845,197
1320,7,2,53,4312.083369,1969.659951,68
1320,10,2,85,8353.182447,6997.987108,276
1320,6,2,61,4301.983312,6433.567226,248
1320,5,2,51,2118.296203,3557.773910,144
1320,6,2,42,3205.272319,7886.414037,306
1320,8,2,72,5066.090369,6835.479271,270
1320,8,2,94,5008.779808,5887.800412,230
1320,3,2,28,1706.306858,4533.673063,183
1320,17,2,64,670.980719,9079.943553,361
1320,8,2,74,5013.491356,7220.972134,290
1320,2,2,67,182.916560,8017.336519,320
1380,8,2,72,5066.090369,6835.479271,270
1380,22,2,78,8669.829450,4505.662845,197
1380,2,2,67,182.916560,8017.336519,320
1380,3,2,28,1706.306858,4533.673063,183
1380,4,2,44,1769.004785,6757.952509,263
1380,5,2,51,2118.296203,3557.773910,144
1380,7,2,53,4312.083369,1969.659951,68
1380,8,2,74,5013.491356,7220.972134,290
1380,6,2,42,3205.272319,7886.414037,306
1380,10,2,85,8353.182447,6997.987108,276
1380,17,2,64,670.980719,9079.943553,361
1380,7,2,37,4879.977199,3982.194577,149
